,inputs,outputs,nb_plays-50-units-128-ensemble-1-predictions,nb_plays-50-units-128-ensemble-2-predictions,nb_plays-50-units-128-ensemble-3-predictions,nb_plays-50-units-128-ensemble-4-predictions,nb_plays-50-units-128-ensemble-5-predictions,nb_plays-50-units-128-ensemble-6-predictions,nb_plays-50-units-128-ensemble-7-predictions,nb_plays-50-units-128-ensemble-8-predictions,nb_plays-50-units-128-ensemble-9-predictions,nb_plays-50-units-128-ensemble-10-predictions,nb_plays-50-units-128-ensemble-11-predictions,nb_plays-50-units-128-ensemble-12-predictions,nb_plays-50-units-128-ensemble-13-predictions,nb_plays-50-units-128-ensemble-14-predictions,nb_plays-50-units-128-ensemble-15-predictions,nb_plays-50-units-128-ensemble-16-predictions,nb_plays-50-units-128-ensemble-17-predictions,nb_plays-50-units-128-ensemble-18-predictions,nb_plays-50-units-128-ensemble-19-predictions,nb_plays-50-units-128-ensemble-20-predictions,lower,higher,average
26,-4.977,-60.28,-59.388,-61.333,-65.176,-56.847,-60.005,-62.45,-61.895,-61.085,-60.913,-58.708,-62.296,-62.215,-62.952,-60.325,-58.709,-61.822,-67.133,-64.044,-67.092,-60.883,-67.133,-56.847,-61.76355
27,-4.822,-60.006,-58.952,-60.389,-64.804,-56.161,-59.196,-61.649,-61.419,-60.298,-61.499,-58.311,-61.811,-61.797,-62.766,-59.831,-58.282,-61.48,-66.261,-63.724,-65.604,-61.185,-66.261,-56.161,-61.27095
28,-4.985,-60.006,-59.591,-62.461,-65.217,-57.005,-59.947,-62.09,-61.894,-61.235,-61.117,-58.844,-62.587,-62.425,-63.051,-61.081,-58.826,-62.082,-67.173,-64.114,-67.48,-61.694,-67.48,-57.005,-61.9957
29,-4.966,-60.006,-59.388,-62.475,-65.194,-56.762,-60.027,-62.035,-61.852,-61.08,-61.239,-58.687,-62.3,-62.189,-62.966,-60.333,-58.724,-61.858,-67.071,-64.038,-66.082,-61.256,-67.071,-56.762,-61.7778
30,-5.019,-60.006,-59.629,-60.784,-65.321,-57.141,-60.372,-62.367,-62.001,-61.051,-61.512,-58.899,-62.62,-62.478,-63.055,-61.013,-58.868,-62.129,-67.368,-64.139,-67.499,-61.868,-67.499,-57.141,-62.0057
31,-4.942,-60.006,-59.307,-61.739,-65.13,-56.664,-60.097,-62.036,-61.788,-60.84,-61.158,-58.611,-62.225,-62.133,-62.93,-60.231,-58.644,-61.78,-66.937,-63.986,-65.984,-61.081,-66.937,-56.664,-61.66505
32,-4.862,-60.006,-59.099,-61.643,-64.931,-56.322,-59.572,-61.862,-61.541,-60.586,-61.347,-58.413,-61.998,-61.946,-62.843,-60.104,-58.428,-61.599,-66.486,-63.829,-67.031,-61.221,-67.031,-56.322,-61.54005
33,-4.92,-60.006,-59.335,-60.969,-65.077,-56.615,-59.701,-61.776,-61.709,-60.886,-61.303,-58.609,-62.276,-62.157,-62.954,-60.507,-58.632,-61.813,-66.81,-63.977,-65.865,-61.35,-66.81,-56.615,-61.61605
34,-4.9,-60.006,-59.211,-61.414,-65.033,-56.463,-59.615,-61.898,-61.653,-60.751,-61.219,-58.516,-62.118,-62.032,-62.896,-60.189,-58.554,-61.698,-66.699,-63.918,-67.245,-61.194,-67.245,-56.463,-61.6158
35,-4.782,-59.897,-58.842,-60.836,-64.702,-55.934,-58.79,-61.287,-61.277,-60.304,-60.833,-58.21,-61.64,-61.613,-62.709,-59.618,-58.175,-61.356,-66.032,-63.64,-65.317,-60.879,-66.032,-55.934,-61.0997
36,-4.879,-59.897,-59.249,-61.337,-64.956,-56.426,-59.051,-61.571,-61.574,-60.818,-61.426,-58.512,-62.164,-62.057,-62.929,-60.515,-58.542,-61.702,-66.576,-63.922,-67.247,-61.397,-67.247,-56.426,-61.59855
37,-4.725,-59.739,-58.635,-60.568,-64.507,-55.66,-58.035,-60.83,-61.078,-60.107,-60.142,-58.081,-61.303,-61.302,-62.565,-59.137,-57.968,-61.178,-65.706,-63.481,-65.099,-60.666,-65.706,-55.66,-60.8024
38,-4.627,-59.342,-58.32,-59.906,-64.128,-55.302,-56.44,-60.33,-60.703,-59.827,-60.244,-57.865,-60.907,-60.878,-62.504,-59.027,-57.504,-60.91,-65.136,-63.249,-66.249,-60.574,-66.249,-55.302,-60.50015
39,-4.529,-58.941,-57.971,-59.882,-63.636,-54.902,-53.583,-58.664,-60.294,-59.502,-59.507,-57.639,-60.186,-60.171,-62.231,-58.388,-56.536,-60.561,-64.565,-62.95,-64.639,-60.262,-64.639,-53.583,-59.80345
40,-4.628,-58.941,-57.967,-60.788,-64.039,-55.304,-53.625,-58.046,-60.632,-60.045,-59.371,-57.904,-60.673,-60.778,-62.567,-59.432,-56.455,-60.836,-65.128,-63.442,-66.219,-60.634,-66.219,-53.625,-60.19425
41,-4.432,-58.46,-57.605,-59.441,-63.009,-54.513,-52.204,-55.457,-59.873,-59.02,-58.759,-57.377,-59.19,-59.399,-61.778,-57.613,-54.745,-60.172,-64.004,-62.47,-64.321,-59.968,-64.321,-52.204,-59.0459
42,-4.413,-58.364,-57.364,-59.198,-62.859,-54.446,-52.334,-54.72,-59.696,-59.169,-57.626,-57.356,-58.666,-59.046,-62.004,-57.973,-52.881,-59.924,-63.88,-62.711,-64.843,-59.788,-64.843,-52.334,-58.8242
43,-4.561,-58.364,-57.538,-60.674,-63.665,-55.028,-53.2,-53.509,-60.256,-59.853,-59.711,-57.765,-58.354,-60.111,-62.374,-59.119,-53.142,-60.441,-64.733,-63.349,-65.422,-60.396,-65.422,-53.142,-59.432
44,-4.525,-58.364,-57.542,-60.351,-63.516,-54.881,-52.837,-55.072,-60.176,-59.517,-58.039,-57.631,-57.78,-59.956,-62.228,-58.37,-52.52,-60.417,-64.537,-62.976,-65.634,-60.224,-65.634,-52.52,-59.2102
45,-4.372,-58.159,-57.252,-58.767,-62.568,-54.284,-51.962,-53.165,-59.539,-58.845,-58.382,-57.203,-56.465,-58.768,-61.709,-57.481,-51.423,-59.793,-63.649,-62.326,-64.362,-59.693,-64.362,-51.423,-58.3818
46,-4.175,-57.069,-56.552,-58.085,-60.888,-53.538,-51.07,-53.341,-58.482,-57.989,-56.632,-56.431,-54.9,-56.597,-60.632,-56.074,-50.442,-58.253,-62.392,-61.465,-62.578,-58.48,-62.578,-50.442,-57.24105
47,-4.219,-57.069,-56.37,-58.471,-60.739,-53.7,-51.378,-52.034,-58.291,-58.377,-56.908,-56.779,-54.749,-56.446,-60.716,-55.448,-50.731,-56.75,-61.871,-62.017,-64.21,-57.556,-64.21,-50.731,-57.17705
48,-4.203,-57.069,-56.257,-58.297,-59.954,-53.64,-51.308,-53.446,-57.914,-58.22,-57.101,-56.65,-54.44,-56.084,-60.19,-54.323,-50.653,-54.848,-60.926,-61.937,-63.018,-57.326,-63.018,-50.653,-56.8266
49,-3.916,-54.975,-55.03,-56.393,-55.952,-52.508,-49.975,-51.426,-55.769,-56.451,-53.88,-54.825,-52.842,-53.159,-57.263,-51.584,-49.196,-52.414,-57.57,-59.762,-60.999,-54.528,-60.999,-49.196,-54.5763
50,-3.968,-54.975,-54.332,-56.109,-54.431,-52.728,-50.091,-52.071,-54.572,-56.571,-53.093,-54.643,-52.771,-53.009,-55.352,-51.449,-49.402,-51.939,-55.465,-59.959,-60.183,-52.621,-60.183,-49.402,-54.03955
51,-4.152,-55.073,-54.916,-57.025,-55.212,-53.463,-50.944,-51.905,-54.499,-57.319,-51.362,-54.4,-53.285,-54.095,-55.23,-52.379,-50.238,-53.117,-52.355,-61.302,-59.708,-52.584,-61.302,-50.238,-54.2669
52,-3.809,-54.022,-53.763,-55.156,-53.038,-52.047,-49.555,-51.293,-51.957,-55.515,-49.354,-50.516,-51.858,-51.311,-53.398,-50.652,-48.678,-50.842,-50.171,-58.743,-57.048,-50.63,-58.743,-48.678,-52.27625
53,-3.707,-53.109,-52.445,-52.813,-51.563,-51.586,-48.944,-50.796,-51.019,-53.667,-49.333,-48.936,-51.375,-51.068,-53.34,-50.251,-48.415,-50.294,-48.455,-57.571,-53.395,-49.931,-57.571,-48.415,-51.25985
54,-3.652,-52.612,-51.619,-51.081,-51.586,-51.324,-48.551,-50.136,-50.573,-50.61,-46.294,-48.565,-50.936,-50.404,-52.019,-50.023,-48.192,-49.872,-47.467,-55.717,-49.901,-49.493,-55.717,-46.294,-50.21815
55,-3.543,-51.623,-50.504,-50.063,-50.74,-50.783,-47.898,-50.124,-49.914,-49.062,-43.629,-47.854,-50.171,-49.768,-51.895,-49.537,-47.842,-48.963,-46.515,-53.049,-49.57,-48.608,-53.049,-43.629,-49.32445
56,-3.506,-51.283,-49.838,-49.835,-49.757,-50.584,-47.297,-49.027,-49.592,-48.751,-42.389,-47.518,-49.679,-49.334,-50.709,-49.393,-47.678,-48.15,-45.995,-50.462,-49.354,-48.214,-50.709,-42.389,-48.6778
57,-4.067,-52.494,-52.148,-52.199,-52.988,-53.182,-49.597,-51.512,-52.434,-51.978,-45.297,-50.886,-52.388,-52.13,-54.35,-52.25,-49.537,-51.804,-50.931,-51.936,-51.654,-51.765,-54.35,-45.297,-51.5483
58,-3.501,-51.232,-50.24,-49.621,-50.495,-50.579,-47.691,-48.838,-49.983,-49.041,-41.835,-48.185,-49.964,-48.67,-50.974,-49.271,-47.556,-48.692,-47.296,-49.541,-50.189,-48.297,-50.974,-41.835,-48.8479
59,-3.693,-51.232,-50.566,-50.527,-50.949,-51.516,-47.996,-49.91,-50.581,-49.671,-43.113,-48.822,-50.727,-50.561,-52.435,-50.288,-48.164,-49.736,-47.762,-47.636,-50.401,-49.65,-52.435,-43.113,-49.55055
60,-3.589,-51.232,-50.124,-50.531,-50.972,-51.016,-47.562,-48.404,-50.146,-49.203,-42.885,-48.165,-50.422,-49.19,-51.197,-49.713,-47.932,-48.908,-46.648,-44.025,-50.129,-48.92,-51.197,-42.885,-48.8046
61,-3.655,-51.232,-50.257,-50.628,-50.901,-51.333,-47.528,-49.448,-50.394,-49.503,-43.308,-48.568,-50.617,-49.928,-52.24,-50.072,-48.099,-49.252,-47.235,-44.307,-50.344,-49.375,-52.24,-43.308,-49.16685
62,-2.696,-43.58,-43.399,-42.3,-43.053,-44.926,-40.185,-41.372,-43.034,-44.065,-35.007,-42.364,-44.125,-43.137,-41.444,-43.78,-42.915,-42.791,-40.057,-38.897,-46.449,-39.892,-46.449,-35.007,-42.1596
63,-2.77,-43.58,-38.205,-39.307,-40.643,-38.958,-38.79,-40.047,-42.496,-41.083,-34.061,-39.008,-41.357,-38.975,-36.976,-41.637,-42.877,-36.56,-38.627,-39.879,-43.016,-36.959,-43.016,-34.061,-39.47305
64,-2.939,-43.697,-38.708,-39.099,-41.709,-37.756,-37.654,-38.833,-40.531,-38.48,-34.763,-37.256,-38.875,-36.653,-36.971,-41.689,-44.023,-37.945,-37.82,-40.834,-41.501,-37.636,-44.023,-34.763,-38.9368
65,-2.933,-43.697,-38.718,-38.128,-38.58,-37.063,-37.594,-37.065,-39.566,-38.422,-36.482,-34.47,-38.096,-36.512,-37.416,-41.392,-44.083,-37.756,-36.707,-40.877,-39.356,-36.162,-44.083,-34.47,-38.22225
66,-2.512,-41.761,-33.819,-34.277,-33.157,-35.454,-33.544,-35.876,-36.223,-34.891,-33.042,-32.511,-34.128,-35.899,-34.258,-38.443,-40.244,-34.262,-35.139,-36.932,-35.908,-33.656,-40.244,-32.511,-35.08315
67,-1.851,-35.061,-26.662,-30.795,-29.19,-33.358,-27.634,-32.888,-32.249,-31.304,-30.67,-29.446,-30.186,-33.821,-29.878,-30.88,-32.568,-29.996,-31.479,-31.029,-29.899,-31.143,-33.821,-26.662,-30.75375
68,-3.281,-41.384,-37.965,-37.19,-38.661,-38.624,-35.239,-37.848,-39.056,-36.458,-39.259,-35.916,-37.012,-37.38,-37.489,-37.315,-35.958,-37.514,-37.452,-38.107,-37.481,-37.448,-39.259,-35.239,-37.4686
69,-1.978,-35.927,-29.623,-31.816,-30.114,-32.17,-29.865,-32.82,-32.874,-31.779,-29.582,-27.465,-31.281,-34.162,-32.96,-32.327,-29.709,-32.792,-32.499,-30.325,-31.842,-29.758,-34.162,-27.465,-31.28815
70,-2.325,-36.33,-30.176,-34.67,-30.799,-32.379,-29.502,-33.246,-33.602,-31.942,-30.576,-28.945,-30.697,-35.586,-32.78,-32.903,-30.277,-33.123,-32.72,-33.089,-32.977,-31.748,-35.586,-28.945,-32.08685
71,-2.879,-38.878,-36.387,-36.371,-35.7,-35.942,-31.328,-36.022,-36.427,-32.501,-35.044,-32.876,-32.085,-36.416,-36.9,-34.488,-35.427,-35.382,-35.34,-37.207,-36.738,-36.318,-37.207,-31.328,-35.24495
72,-2.793,-38.878,-37.76,-35.899,-37.075,-36.688,-34.775,-36.782,-36.24,-33.217,-34.487,-33.628,-32.151,-36.288,-35.621,-34.197,-36.928,-36.484,-35.604,-36.404,-36.106,-35.122,-37.76,-32.151,-35.5728
73,-2.159,-36.906,-31.271,-33.339,-31.417,-34.144,-30.38,-33.718,-33.535,-30.819,-31.859,-30.866,-31.434,-35.176,-31.736,-32.614,-33.892,-32.121,-33.573,-31.504,-33.053,-31.974,-35.176,-30.38,-32.42125
74,-1.474,-31.111,-24.048,-29.614,-26.311,-31.477,-26.364,-23.569,-29.986,-24.855,-28.819,-26.963,-27.848,-30.902,-25.94,-28.569,-27.803,-26.841,-28.615,-27.73,-29.428,-29.025,-31.477,-23.569,-27.73535
75,-1.268,-28.729,-21.704,-26.798,-25.333,-27.615,-24.084,-22.87,-24.461,-19.647,-25.509,-22.095,-23.196,-29.354,-23.301,-22.552,-25.453,-21.836,-22.615,-22.724,-21.756,-25.07,-29.354,-19.647,-23.89865
76,-1.813,-29.873,-23.479,-29.627,-27.394,-28.024,-25.274,-24.328,-23.695,-23.391,-29.674,-25.326,-24.279,-33.044,-23.624,-23.385,-28.906,-22.186,-27.158,-24.31,-25.47,-27.907,-33.044,-22.186,-26.02405
77,-0.713,-22.264,-18.373,-20.726,-19.859,-17.154,-16.053,-16.447,-18.745,-16.059,-17.438,-15.686,-15.282,-21.182,-17.516,-18.883,-18.057,-14.16,-19.309,-17.979,-16.993,-17.584,-21.182,-14.16,-17.67425
78,-0.388,-18.421,-15.959,-18.366,-14.252,-13.807,-10.652,-11.84,-15.437,-12.432,-10.836,-10.454,-8.816,-12.27,-13.234,-15.163,-13.587,-12.635,-14.683,-12.369,-13.319,-12.471,-18.366,-8.816,-13.1291
79,-0.778,-18.943,-15.481,-17.937,-15.265,-14.589,-13.275,-10.104,-19.107,-13.164,-13.522,-12.964,-9.532,-14.129,-13.212,-14.953,-13.67,-13.783,-15.757,-14.13,-13.721,-12.876,-19.107,-9.532,-14.05855
80,-1.148,-20.596,-15.258,-19.881,-15.627,-15.699,-14.489,-12.73,-21.135,-14.251,-14.815,-13.931,-13.044,-14.98,-12.246,-14.966,-15.066,-15.699,-18.655,-15.133,-14.55,-14.404,-21.135,-12.246,-15.32795
81,-0.166,-15.74,-10.531,-15.623,-9.682,-9.94,-9.022,-10.053,-12.53,-10.694,-8.538,-9.203,-5.351,-10.541,-6.634,-10.258,-10.369,-10.966,-11.128,-9.228,-12.071,-10.471,-15.623,-5.351,-10.14165
82,-0.226,-15.74,-9.681,-16.182,-6.454,-9.071,-8.133,-8.398,-14.597,-7.714,-8.943,-8.279,-4.995,-10.982,-5.302,-9.076,-10.341,-8.505,-9.899,-9.087,-11.719,-9.14,-16.182,-4.995,-9.3249
83,-0.045,-14.247,-9.329,-13.114,-7.929,-7.762,-10.889,-7.665,-11.391,-5.953,-7.755,-6.004,-4.061,-10.034,-4.662,-6.855,-8.156,-4.822,-9.561,-8.499,-10.953,-8.343,-13.114,-4.061,-8.18685
84,-0.682,-15.799,-10.478,-13.59,-5.285,-10.049,-11.77,-8.869,-17.748,-7.565,-12.866,-8.17,-8.298,-13.721,-5.707,-10.024,-9.01,-6.921,-13.525,-9.967,-12.485,-10.333,-17.748,-5.285,-10.31905
85,-1.645,-21.773,-15.17,-15.841,-11.197,-15.444,-14.846,-14.941,-22.952,-13.14,-16.081,-12.401,-14.544,-15.46,-9.867,-14.935,-10.308,-12.24,-17.222,-15.087,-16.255,-14.839,-22.952,-9.867,-14.6385
86,0.956,-1.911,-1.162,-0.542,0.156,-2.726,1.322,1.746,-0.215,1.826,1.232,0.671,-1.409,-0.753,0.351,-2.148,3.785,1.567,-0.994,-0.829,0.556,-0.958,-2.726,3.785,0.0738
87,-0.782,-10.464,-4.595,-9.592,-6.351,-7.492,-7.449,-10.127,-8.569,-7.782,-6.483,-6.893,-10.664,-11.165,-5.589,-8.629,-4.111,-6.583,-11.222,-7.669,-5.467,-8.146,-11.222,-4.111,-7.7289
88,0.131,-7.445,-3.136,-3.782,-6.506,-6.227,-5.278,-5.987,-3.679,-4.598,-3.824,-3.108,-5.698,-8.734,-4.14,-4.152,-3.169,-3.802,-5.08,-3.326,-4.032,-4.388,-8.734,-3.108,-4.6323
89,1.465,4.362,10.583,10.053,6.199,3.039,7.659,5.282,6.988,6.766,10.201,7.439,6.869,3.685,8.005,7.707,7.001,9.592,8.808,6.78,6.139,7.067,3.039,10.583,7.2931
90,0.566,1.421,9.421,6.971,-1.111,-1.087,2.411,3.62,5.519,5.398,2.826,4.955,7.882,-0.708,4.933,5.221,1.106,7.037,1.488,3.503,-0.143,2.457,-1.111,9.421,3.58495
91,1,2.111,10.907,11.352,2.645,3.111,5.882,6.492,10.521,7.873,6.215,7.454,8.704,0.249,7.199,8.515,4.585,10.252,6.314,8.196,4.356,5.831,0.249,11.352,6.83265
92,-0.101,-2.922,1.563,6.095,-1.994,-3.353,-1.101,-2.65,6.096,1.067,2.223,2.531,4.72,-5.177,0.594,2.599,-2.649,1.007,-0.5,0.596,-1.717,-0.315,-5.177,6.096,0.48175
93,-0.114,-3.015,0.011,3.264,-3.766,-3.784,-4.253,-4.325,1.518,1.373,0.406,0.796,4.53,-3.997,-3.525,-0.36,-4.137,-2.471,-3.532,-2.843,-2.085,-0.563,-4.325,4.53,-1.38715
94,0.633,-0.911,4.27,7.321,-1.438,-0.637,-0.332,2.108,3.354,9.474,1.312,1.766,8.129,0.273,-0.722,0.694,1.031,-0.055,-1.345,0.629,0.413,2.464,-1.438,9.474,1.93545
95,1.568,5.626,12.351,13.07,8.635,8.209,10.683,12.087,13.579,13.043,13.419,10.173,13.079,12.538,10.119,12.246,7.693,10.09,9.354,9.824,10.606,10.891,7.693,13.579,11.08445
96,0.972,4.275,12.114,14.134,9.523,6.883,8.164,13.231,12.407,10.792,12.911,8.319,12.177,11.689,7.816,9.167,5.218,10.058,9.971,13.568,7.861,8.085,5.218,14.134,10.2044
97,0.87,3.766,11.919,15.056,7.135,7.082,9.425,15.596,12.54,10.525,13.88,7.968,13.008,9.813,7.731,11.138,4.276,9.736,12.245,14.185,6.953,4.536,4.276,15.596,10.23735
98,1.488,5.223,14.021,17.435,11.623,11.363,12.997,20.68,13.967,12.613,16.167,11.411,17.636,12.352,8.333,17.542,8.89,13.302,16.003,16.558,12.882,10.49,8.333,20.68,13.81325
99,2.05,11.566,17.809,23.357,17.198,17.077,17.855,23.807,18.37,17.086,22.986,17.566,23.062,16.177,10.638,24.491,17.451,18.365,19.892,22.238,18.104,13.916,10.638,24.491,18.87225
100,0.906,7.151,15.711,17.695,11.14,16.015,14.842,18.761,14.257,12.811,18.994,13.16,19.826,14.175,7.785,15.177,13.826,11.204,13.975,15.852,13.295,8.982,7.785,19.826,14.37415
101,1.142,7.249,14.959,16.815,10.229,14.184,11.842,18.095,14.5,12.049,20.993,11.394,21.491,14.477,8.009,18.078,15.751,11.375,14.401,16.424,13.657,8.354,8.009,21.491,14.35385
102,1.47,8.372,17.201,17.729,12.948,17.854,12.359,22.174,14.498,12.995,23.546,13.601,23.185,17.053,8.304,20.56,18.491,13.169,16.887,19.903,15.383,10.393,8.304,23.546,16.41165
103,2.528,17.449,24.3,25.283,21.469,26.316,23.07,28.513,22.081,21.189,27.613,22.451,27.518,22.641,13.509,27.256,24.791,23.938,23.993,25.826,24.932,18.859,13.509,28.513,23.7774
