,inputs,outputs,lower,higher,average
745,4.191,55.024,54.848,55.243,55.02815
746,5.527,60.704,60.437,60.928,60.70665
747,4.994,59.608,59.409,59.89,59.70875
748,5.712,61.991,61.801,62.185,62.0214
749,3.173,45.894,45.645,46.15,45.8561
750,5.304,57.502,57.226,57.86,57.5327
751,5.772,61.403,61.249,61.634,61.4288
752,3.334,47.256,47.049,47.476,47.2165
753,5.436,58.643,58.402,58.96,58.66465
754,6.674,69.555,69.398,69.788,69.6525
755,4.949,61.103,60.818,61.316,61.1281
756,5.769,63.588,63.172,63.783,63.53575
757,5.599,63.588,63.172,63.783,63.53575
758,4.198,55.086,54.912,55.304,55.0902
759,4.919,57.065,56.68,57.182,56.95925
760,3.283,46.931,46.671,47.181,46.8914
761,4.367,50.967,50.69,51.215,50.8883
762,5.049,55.688,55.339,56.024,55.70045
763,5.468,58.976,58.698,59.317,59.007
764,4.728,56.906,56.685,57.47,57.0369
765,5.38,58.532,58.248,58.915,58.55735
766,3.51,48.735,48.494,48.962,48.6971
767,4.461,51.97,51.654,52.196,51.87125
768,4.529,52.369,52.092,52.607,52.28775
769,6.304,66.157,66.024,66.375,66.21485
770,4.181,54.613,54.423,54.699,54.57685
771,3.835,51.754,51.587,51.902,51.72365
772,4.313,52.62,52.281,52.673,52.50035
773,2.365,38.027,37.818,38.314,38.017
774,4.519,49.828,49.565,50.194,49.85445
775,3.332,45.141,44.859,45.671,45.18635
776,0.404,16.925,16.797,17.327,16.93715
777,3.793,39.528,39.355,39.876,39.5847
778,3.195,38.169,38.106,38.563,38.3137
779,0.483,17.656,17.537,18.056,17.68325
780,3.529,37.118,36.914,37.471,37.15755
781,6.556,67.784,67.59,68.122,67.84275
782,4.531,57.019,56.735,57.363,56.98045
783,4.621,57.019,56.735,57.363,56.98045
784,0.62,19.282,19.165,19.62,19.31795
785,4.162,43.324,43.277,43.545,43.38085
786,3.407,41.18,41.092,41.609,41.33515
787,4.069,42.859,42.774,43.058,42.90085
788,3.755,42.546,42.477,42.804,42.636
789,0.087,13.346,13.145,13.818,13.2826
790,2.619,28.287,28.023,28.808,28.3101
791,1.079,21.19,20.971,21.798,21.2328
792,2.386,26.673,26.354,27.26,26.67
793,0.582,17.427,17.238,18.046,17.4244
794,4.89,49.863,49.734,50.372,49.8938
795,0.434,16.882,16.709,17.508,16.88025
796,0.24,14.914,14.731,15.478,14.8838
797,2.072,24.173,23.958,24.645,24.20745
798,-0.348,8.377,8.394,8.701,8.53865
799,0.839,13.06,12.726,13.297,12.96175
800,-0.091,9.948,9.815,10.207,9.98135
801,4.271,43.019,42.894,43.266,43.06005
802,2.9,37.104,36.951,37.439,37.15675
803,1.092,22.342,22.231,22.647,22.3992
804,0.302,14.861,14.645,15.202,14.8467
805,2.843,29.882,29.64,30.188,29.90615
806,1.648,25.148,24.953,25.539,25.20865
807,1.709,25.148,24.953,25.539,25.20865
808,0.536,16.83,16.596,17.21,16.83675
809,-2.913,-22.199,-22.41,-22.114,-22.2463
810,0.113,-2.919,-2.944,-2.65,-2.8136
811,-0.853,-6.237,-6.175,-5.771,-6.0206
812,1.377,9.12,8.958,9.101,9.02775
813,1.984,15.295,15.074,15.317,15.2002
814,-1.481,-8.032,-8.087,-7.784,-7.93715
815,0.646,3.55,3.326,3.639,3.48205
816,3.056,26.667,26.475,26.774,26.6296
817,-1.877,-11.187,-11.357,-10.94,-11.1498
818,2.698,22.994,22.782,23.071,22.9424
819,-2.496,-17.7,-17.863,-17.6,-17.7189
820,-0.869,-9.972,-10.26,-9.752,-9.99075
821,-1.06,-9.972,-10.285,-9.766,-10.0111
822,-1.138,-10.161,-10.438,-9.908,-10.1676
823,-2.958,-22.751,-22.967,-22.672,-22.7999
824,-2.586,-22.28,-22.557,-22.211,-22.3673
825,-2.86,-22.481,-22.744,-22.424,-22.5546
826,-0.99,-12.431,-12.789,-12.269,-12.46515
827,-1.102,-12.431,-12.789,-12.269,-12.46515
828,2.573,21.399,21.157,21.492,21.32585
829,2.118,20.626,20.379,20.86,20.63965
830,-3.639,-31.141,-31.344,-31.033,-31.18305
831,-1.248,-17.395,-17.663,-17.228,-17.43935
832,0.657,0.235,0.085,0.283,0.1646
833,-2.354,-18.899,-19.101,-18.716,-18.89205
834,-2.763,-22.662,-22.825,-22.514,-22.69195
835,-2.507,-22.507,-22.673,-22.38,-22.54075
836,-0.165,-7.159,-7.215,-6.879,-7.02655
837,-5.416,-53.032,-53.112,-52.777,-53.0129
838,-3.95,-46.458,-46.706,-46.226,-46.45895
839,-1.662,-26.963,-27.105,-26.791,-26.99905
840,-2.237,-28.23,-28.256,-27.972,-28.18395
841,-2.549,-29.833,-29.957,-29.567,-29.77875
842,-4.471,-44.309,-44.516,-44.111,-44.28925
843,-0.536,-15.724,-15.904,-15.491,-15.73425
844,2.858,21.997,21.491,22.048,21.90965
845,-2.412,-19.383,-19.9,-19.168,-19.43135
846,-4.296,-40.066,-40.625,-39.451,-40.15365
847,-1.533,-23.119,-23.77,-22.47,-23.26265
848,-5.498,-54.038,-54.122,-53.782,-54.02125
849,-6.207,-62.782,-62.873,-62.619,-62.76165
850,-3.936,-50.02,-50.222,-49.832,-49.9938
851,-11.855,-132.361,-132.767,-132.259,-132.5394
852,-7.639,-101.778,-101.797,-100.939,-101.5157
853,-5.289,-76.916,-76.981,-76.396,-76.77785
854,-8.371,-96.699,-96.993,-96.21,-96.68895
855,-7.471,-93.756,-94.146,-93.261,-93.81965
856,-5.743,-80.935,-81.144,-80.365,-80.84075
857,-9.418,-106.638,-107.083,-106.449,-106.7988
858,-5.761,-81.5,-81.696,-80.983,-81.38035
859,-6.2,-82.207,-82.374,-81.612,-82.0288
860,-4.566,-68.756,-68.839,-68.319,-68.64775
861,-1.225,-28.783,-28.948,-28.752,-28.86925
862,-4.212,-47.713,-47.927,-47.603,-47.75595
863,-4.706,-52.256,-52.407,-52.13,-52.2967
864,-4.507,-52.256,-52.382,-52.102,-52.26015
865,-4.156,-51.095,-51.363,-51.005,-51.2137
866,-7.919,-85.655,-85.911,-85.334,-85.7382
867,-5.24,-69.448,-69.712,-68.956,-69.47115
868,-3.994,-57.928,-58.043,-57.446,-57.8621
869,-9.053,-98.596,-98.879,-98.442,-98.7203
870,-2.362,-41.752,-42.015,-41.246,-41.74085
871,-1.729,-34.593,-34.739,-34.367,-34.6157
872,-6.879,-74.71,-75.049,-74.458,-74.69605
873,-5.717,-70.184,-70.444,-69.973,-70.2128
874,-7.633,-82.751,-83.012,-82.599,-82.77405
875,-2.902,-46.975,-47.153,-46.594,-46.90755
876,-8.182,-88.785,-89.028,-88.564,-88.82655
877,-5.662,-73.939,-74.115,-73.641,-73.91055
878,-7.564,-83.742,-83.945,-83.516,-83.7611
879,-4.823,-66.452,-66.767,-66.018,-66.3565
880,-10.345,-113.89,-114.361,-113.777,-114.0892
881,-0.966,-25.593,-25.742,-25.571,-25.67475
882,-7.819,-84.251,-84.501,-83.818,-84.3324
883,-4.723,-64.329,-64.593,-63.672,-64.32715
884,-5.513,-66.657,-66.882,-66.012,-66.57205
885,-7.133,-78.238,-78.517,-77.636,-78.27435
886,-8.365,-90.453,-90.756,-90.167,-90.56625
887,-1.033,-26.356,-26.508,-26.37,-26.44075
888,-6.843,-73.496,-73.61,-73.286,-73.5112
889,-3.614,-52.369,-52.653,-51.981,-52.34095
890,-7.86,-84.72,-84.972,-84.346,-84.80535
891,-7.195,-83.026,-83.632,-82.669,-83.20835
892,-2.667,-44.153,-44.351,-43.564,-44.1531
893,-0.781,-23.315,-23.445,-23.291,-23.3823
894,-5.148,-55.402,-55.519,-55.27,-55.42675
895,-10.076,-110.525,-110.975,-110.459,-110.7349
896,3.666,31.468,31.396,31.531,31.47185
897,-7.688,-81.021,-81.172,-80.908,-81.08835
898,-10.361,-113.951,-114.338,-113.975,-114.1703
899,6.253,63.341,63.188,63.504,63.3974
900,-5.669,-56.143,-56.229,-55.89,-56.1255
901,-9.824,-107.341,-107.682,-107.348,-107.5372
902,-6.634,-86.566,-86.94,-86.086,-86.522
903,-2.35,-41.612,-41.82,-41.458,-41.6336
904,-2.976,-43.115,-43.26,-42.626,-43.044
905,-7.06,-77.177,-77.404,-77.01,-77.21425
906,3.725,32.198,32.126,32.261,32.2004
907,-5.563,-54.934,-55.014,-54.665,-54.9067
908,-8.124,-86.392,-86.613,-86.29,-86.4856
909,0.551,-6.611,-6.953,-6.558,-6.76095
910,2.12,12.432,12.252,12.397,12.3408
911,-6.368,-65.133,-65.22,-64.755,-65.0752
912,-8.604,-92.303,-92.581,-92.248,-92.43
913,1.225,1.41,1.181,1.36,1.30205
914,-10.983,-121.61,-122.036,-121.611,-121.8346
915,-7.595,-99.009,-99.364,-98.404,-98.911
916,1.289,2.183,1.972,2.131,2.0604
917,-2.694,-26.1,-26.3,-26.078,-26.16985
918,-3.418,-33.349,-33.52,-33.201,-33.4135
919,-0.84,-18.01,-18.202,-17.901,-18.0706
920,-2.749,-27.872,-28.089,-27.844,-27.95335
921,-7.218,-75.6,-75.736,-75.329,-75.5908
922,3.196,25.686,25.578,25.719,25.6624
923,3.509,29.538,29.453,29.588,29.5322
924,-0.852,-2.489,-2.481,-2.187,-2.32195
925,-1.374,-7.8,-7.881,-7.511,-7.67125
926,7.924,83.935,83.922,84.204,84.05865
927,-2.419,-16.108,-16.276,-15.943,-16.1057
928,-2.23,-16.108,-16.255,-15.921,-16.08925
929,0.389,1.226,1.105,1.377,1.18945
930,4.94,48.29,47.959,48.427,48.3212
931,5.549,55.338,54.979,55.419,55.31565
932,-1.732,-8.173,-8.512,-7.841,-8.13515
933,0.661,5.585,5.127,5.941,5.4949
934,-5.96,-59.732,-59.812,-59.527,-59.7127
935,-1.57,-27.414,-27.553,-27.253,-27.45775
936,-3.558,-37.882,-38.084,-37.752,-37.93485
937,-4.098,-42.324,-42.473,-42.19,-42.3401
938,6.781,69.852,69.663,70.02,69.92495
939,-2.988,-23.139,-23.337,-23.044,-23.192
940,-1.82,-18.572,-18.994,-18.42,-18.68695
941,1.895,14.211,13.997,14.215,14.1072
942,5.748,57.375,57.16,57.506,57.3501
943,3.087,41.324,41.06,41.472,41.2485
944,14.603,166.21,165.53,166.169,165.89055
945,0.557,20.55,20.517,20.723,20.5994
946,2.347,29.491,29.454,29.712,29.5581
947,2.554,31.092,31.038,31.295,31.1713
948,8.473,91.393,90.986,91.639,91.5033
949,3.955,57.782,57.363,57.863,57.6382
950,0.958,25.196,25.041,25.507,25.2284
951,-3.079,-24.243,-24.46,-24.172,-24.2812
952,2.999,25.812,25.664,25.922,25.784
953,8.9,95.954,95.978,96.286,96.12985
954,-0.043,12.976,12.797,13.153,12.96935
955,4.768,49.576,49.491,49.84,49.64595
956,3.468,44.136,44.07,44.375,44.2201
957,6.666,70.017,69.689,70.388,70.12535
958,-1.565,-5.586,-5.656,-5.286,-5.45835
959,14.301,162.49,161.875,162.5,162.2518
960,-3.721,-32.149,-32.349,-32.031,-32.19175
961,0.953,3.042,2.736,3.095,2.94115
962,7.574,79.622,79.549,79.862,79.73175
963,4.469,59.626,59.392,59.796,59.57375
964,7.236,76.594,76.52,76.804,76.6592
965,0.703,20.76,20.614,21.273,20.80695
966,2.906,32.948,32.753,33.371,33.01415
967,3.435,37.426,37.205,37.873,37.4585
968,11.312,125.663,125.527,126.089,125.8853
969,7.007,94.197,93.311,94.058,93.79825
970,7.626,95.659,94.546,95.591,95.1675
971,0.438,19.082,19.023,19.25,19.11675
972,8.654,93.439,92.987,93.711,93.5443
973,5.018,68.497,67.856,68.575,68.3154
974,10.914,120.76,120.662,121.189,120.99575
975,14.114,160.18,159.611,160.226,159.9955
976,2.582,45.501,45.326,45.601,45.48265
977,2.155,40.234,40.123,40.366,40.2544
978,-0.067,12.869,12.755,12.915,12.8453
979,3.6,38.106,38.075,38.219,38.1571
980,2.47,33.778,33.593,34.066,33.87305
981,6.237,65.406,65.225,65.652,65.44545
982,3.773,51.041,50.804,51.273,50.9986
983,2.742,41.795,41.591,42.072,41.74005
984,9.923,108.559,108.529,108.981,108.79935
985,-0.041,13.182,13.068,13.215,13.14675
986,6.859,72.366,72.039,72.621,72.4634
987,2.705,42.404,41.82,42.584,42.35605
988,8.396,90.135,89.782,90.438,90.2443
989,11.736,130.891,130.704,131.296,131.0825
990,3.327,54.269,53.99,54.712,54.25415
991,7.078,80.304,80.099,80.784,80.4613
992,5.793,74.972,74.663,75.511,75.11835
993,0.926,25.093,25.103,25.284,25.1687
994,6.147,65.962,65.933,66.206,66.02415
995,6.406,68.704,68.636,68.953,68.76275
996,7.039,75.539,75.414,75.83,75.6228
997,3.994,56.084,55.886,56.377,56.04245
998,5.465,62.694,62.475,62.935,62.6708
999,-0.74,4.579,4.682,4.871,4.7926
1000,3.209,32.536,32.448,32.643,32.56595
