,outputs,nb_plays-0-units-128-ensemble-1-diff,nb_plays-0-units-128-ensemble-2-diff,nb_plays-0-units-128-ensemble-3-diff,nb_plays-0-units-128-ensemble-4-diff,nb_plays-0-units-128-ensemble-5-diff,nb_plays-0-units-128-ensemble-6-diff,nb_plays-0-units-128-ensemble-7-diff,nb_plays-0-units-128-ensemble-8-diff,nb_plays-0-units-128-ensemble-9-diff,nb_plays-0-units-128-ensemble-10-diff,nb_plays-0-units-128-ensemble-11-diff,nb_plays-0-units-128-ensemble-12-diff,nb_plays-0-units-128-ensemble-13-diff,nb_plays-0-units-128-ensemble-14-diff,nb_plays-0-units-128-ensemble-15-diff,nb_plays-0-units-128-ensemble-16-diff,nb_plays-0-units-128-ensemble-17-diff,nb_plays-0-units-128-ensemble-19-diff,lower,higher,average
11,0.029026975,0.974,-4.48,-4.664,-0.301,0.315,-1.774,-6.139,2.102,-4.111,-1.281,-6.457,0.928,-24.134,-2.115,-0.27,-3.885,-1.029,-4.982,-24.134,2.102,-3.405722222
12,-0.541287111,-1.086,-5.889,5.735,-1.154,-14.116,5.379,-12.068,2.877,-0.029,-6.85,7.018,-2.237,-24.723,4.684,-4.748,8.849,5.343,26.102,-24.723,26.102,-0.384055556
13,-1.681915284,-1.69,-16.953,10.361,-1.157,-16.836,10.44,-14.992,8.444,-10.077,-4.308,17.576,-1.905,-23.879,4.797,-7.344,13.495,7.54,23.556,-23.879,23.556,-0.162888889
14,0.68708169,0.178,1.223,0.965,0.258,-4.572,-1.541,-2.713,-4.999,7.264,3.283,-6.453,0.503,1.139,-1.188,0.831,1.452,0.945,8.787,-6.453,8.787,0.297888889
15,-1.769655913,-2.284,-9.415,10.451,-0.946,-15.182,7.097,-10.278,7.477,-9.659,-4.702,11.766,-1.169,-8.368,3.628,-5.582,12.193,7.203,6.106,-15.182,12.193,-0.092444444
16,0.160637918,-0.882,1.247,2.527,-0.01,-5.842,0.626,-3.427,-3.025,5.762,1.565,-4.38,-0.176,0.825,-0.429,-0.15,3.297,1.766,1.212,-5.842,5.762,0.028111111
17,-1.462563713,-4.469,-10.599,14.269,-1.611,-18.763,10.383,-10.297,8.838,-10.742,-8.375,16.711,-2.122,-7.363,4.842,-6.564,14.323,10.823,4.783,-18.763,16.711,0.225944444
18,-0.497416797,-4.148,0.277,7.628,-0.934,-11.127,7.798,-9.254,0.74,3.452,-6.339,-1.531,-1.559,-1.386,1.465,-1.953,9.654,7.079,1.634,-11.127,9.654,0.083111111
19,0.467730118,-0.148,0.006,-3.28,0.955,2.325,-4.726,1.101,-3.704,-0.498,4.356,-8.29,1.67,2.696,-2.558,2.349,-7.103,-1.891,-2.323,-8.29,4.356,-1.059055556
20,-0.93611994,-3.999,-4.255,9.772,-1.303,-10.32,10.025,-9.66,5.593,-2.557,-8.817,8.831,-1.783,-4.218,3.866,-4.475,11.672,9.024,3.235,-10.32,11.672,0.590611111
21,-0.409676168,-3.816,-3.983,5.002,-0.847,-4.185,6.151,-3.332,1.341,-1.367,-1.207,9.862,-1.608,-0.939,1.126,-1.525,3.874,4.449,1.046,-4.185,9.862,0.557888889
22,-0.190324597,-3.703,-0.717,4.212,-0.792,-3.602,7.144,-6.091,1.614,-0.938,-2.624,-1.304,-0.919,-1.249,1.547,-1.792,4.036,3.738,1.023,-6.091,7.144,-0.023166667
23,-1.550304341,-7.264,-12.84,13.531,-3.606,-14.15,16.29,-7.25,8.363,-6.366,-15.517,28.059,-5.316,-4.565,6.404,-5.196,15.516,10.76,3.897,-15.517,28.059,1.152777778
24,-0.32193554,-4.624,-0.594,1.953,-1.187,-0.721,8.97,-2.969,-0.362,1.14,-4.103,-11.503,-1.936,-0.17,0.151,-0.289,3.211,2.526,0.273,-11.503,8.97,-0.568555556
25,-0.62902774,-3.952,-7.285,2.414,-0.987,-2.981,0.438,-1.083,1.603,-1.654,-5.843,15.684,-0.872,-1.023,1.475,-1.097,3.952,3.122,0.599,-7.285,15.684,0.139444444
26,-0.541287111,-5.464,-5.975,5.774,-3.244,-7.727,21.188,-4.428,6.354,-3.465,-23.524,-3.258,-6.319,-3.508,3.389,-3.086,10.102,8.378,1.703,-23.524,21.188,-0.728333333
27,-0.848379312,-2.681,-9.527,1.794,-2.386,-2.206,-9.318,-1.488,0.949,-0.152,-0.194,21.047,-3.347,-1.263,1.497,-1.204,3.986,3.744,0.494,-9.527,21.047,-0.014166667
28,0.643211376,3.534,9.513,-9.055,4.171,13.774,-1.066,6.052,-10.08,6.988,30.11,-33.43,9.761,6.008,-5.222,5.535,-13.486,-13.379,-3.034,-33.43,30.11,0.371888889
29,-0.234194911,-2.043,-9.024,7.166,-2.13,-10.873,2.162,-4.667,8.589,-7.183,-10.928,28.135,-4.07,-4.219,4.371,-3.954,9.518,8.915,2.296,-10.928,28.135,0.670055556
30,-0.453546483,-1.859,-3.646,2.304,-2.367,-2.959,20.013,-1.438,1.608,0.368,-32.013,-10.33,-5.663,-1.762,1.847,-1.521,4.359,4.19,0.741,-32.013,20.013,-1.562666667
31,0.292248861,3.515,10.968,-8.471,3.939,12.735,-26.792,5.625,-9.608,6.226,18.92,-8.93,9.281,5.682,-4.735,5.069,-12.619,-12.271,-2.788,-26.792,18.92,-0.236333333
32,-0.716768369,-4.387,-17.408,11.781,-5.228,-17.084,33.73,-7.968,18.695,-10.602,-24.877,19.215,-9.833,-8.051,9.821,-6.879,16.914,17.004,3.595,-24.877,33.73,1.024333333
33,-0.892249626,-0.113,-1.031,1.645,-3.371,-1.944,-17.372,-1.65,-3.999,2.264,7.614,24.112,-5.044,-1.831,6.233,-1.82,2.814,3.345,0.529,-17.372,24.112,0.576722222
34,1.038044205,8.727,23.992,-22.486,11.106,33.029,-32.529,15.873,-21.733,16.643,65.943,-70.582,19.555,14.142,-17.664,14.283,-30.138,-29.398,-7.876,-70.582,65.943,-0.506277778
35,-0.190324597,2.468,-1.221,2.783,2.495,-7.182,13.009,-2.542,2.905,-8.191,0.871,20.628,2.785,-1.888,0.16,-3.225,0.69,0.934,1.49,-8.191,20.628,1.498277778
36,-0.190324597,0.582,-6.817,1.428,-0.056,-1.781,-0.768,1.234,1.354,1.631,-29.653,-7.854,-3.075,-0.509,-0.567,0.028,0.585,0.459,0.694,-29.653,1.631,-2.393611111
37,-0.190324597,-0.33,4.41,1.14,-0.422,-1.585,1.95,-1.414,0.949,-2.141,5.142,12.726,-0.473,-0.554,0.338,-0.858,0.961,1.896,0.474,-2.141,12.726,1.233833333
38,-1.023860569,-3.171,-9.224,5.108,-2.195,-6.77,11.258,-2.624,4.316,-2.394,-3.029,-1.576,-3.127,-2.243,2.728,-2.352,6.683,5.631,1.655,-9.224,11.258,-0.073666667
39,0.906433262,3.341,15.692,-9.205,2.878,12.429,-16.634,5.667,-7.99,6.674,14.275,-10.129,4.046,4.182,-6.005,4.644,-10.745,-8.702,-3.168,-16.634,15.692,0.069444444
40,2.792856778,7.733,10.069,-15.086,4.65,17.537,-24.584,11.117,-11.44,7.321,22.735,-24.499,7.359,7.876,-9.092,8.613,-19.284,-11.853,-6.587,-24.584,22.735,-0.9675
41,-0.585157426,2.395,1.125,3.808,-0.18,-6.546,5.802,-3.745,5.836,-5.234,0.838,8.199,-0.608,-3.709,2.455,-3.702,4.93,1.042,2.493,-6.546,8.199,0.844388889
42,0.423859804,3.577,6.122,-6.019,1.035,6.524,-15.241,5.33,-4.928,4.943,0.012,-7.437,0.739,3.364,-3.282,3.421,-8.42,-5.391,-2.322,-15.241,6.524,-0.9985
43,0.99417389,5.531,6.71,-8.522,1.503,8.179,-8.658,5.356,-4.596,1.735,9.719,-16.871,2.571,4.023,-3.793,3.258,-10.742,-8.41,-3.44,-16.871,9.719,-0.913722222
44,-0.716768369,1.818,-0.628,1.175,-0.474,-4.513,-2.699,-2.67,3.243,-2.363,-6.044,9.425,-0.852,-2.801,1.964,-2.293,4.335,0.477,1.914,-6.044,9.425,-0.054777778
45,-1.33095277,-2.48,-4.125,8.632,-1.804,-9.567,11.158,-6.554,6.74,-4.375,-4.214,16.437,-2.913,-4.433,4.401,-4.559,10.664,7.813,3.846,-9.567,16.437,1.370388889
46,-0.497416797,-2.72,1.191,3.542,-0.967,-3.275,4.393,-1.947,1.157,-0.077,-3.409,-1.002,-1.393,-1.158,1.324,-1.34,2.351,4.784,1.207,-3.409,4.784,0.147833333
47,-0.804508997,-2.972,-4.75,4.092,-0.992,-3.896,6.968,-2.798,2.116,-2.07,-3.995,9.644,-1.199,-1.562,1.823,-1.908,4.487,4.175,1.292,-4.75,9.644,0.469722222
48,-0.190324597,-1.902,1.402,1.58,-0.426,-0.979,2.447,-0.394,0.185,0.273,-0.323,-4.198,-0.602,-0.309,0.44,-0.412,2.023,1.444,0.315,-4.198,2.447,0.031333333
49,-1.023860569,-3.212,-6.252,5.619,-1.44,-5.618,7.947,-3.504,3.479,-3.028,-7.476,14.462,-1.97,-2.058,2.791,-2.145,6.402,4.449,1.726,-7.476,14.462,0.565111111
50,-0.541287111,-3.317,-2.428,3.559,-1.306,-3.495,6.793,-1.736,1.882,-0.89,-6.462,-4.724,-2.003,-1.122,1.798,-1.113,4.576,3.578,1.025,-6.462,6.793,-0.299166667
51,1.827709863,3.934,11.861,-13.19,3.5,16.385,-13.754,8.556,-10.382,8.677,13.377,-17.926,5.307,6.294,-7.47,7.208,-14.786,-10.121,-5.143,-17.926,16.385,-0.426277778
52,-1.243212141,-2.2,-13.805,10.056,-1.9,-12.906,8.483,-7.293,8.909,-8.634,-11.333,11.264,-2.301,-5.255,6.046,-6.312,10.815,6.684,4.012,-13.805,11.264,-0.315
53,-0.146454282,-1.553,2.816,1.159,-0.789,-0.522,2.326,0.356,-0.296,1.962,-0.655,12.508,-2.123,-0.054,0.047,0.287,1.588,1.012,0.357,-2.123,12.508,1.023666667
54,1.038044205,3.402,6.326,-10.018,2.635,11.962,-14.504,5.986,-7.54,4.992,23.484,-18.873,4.43,4.633,-5.4,5.178,-11.313,-7.29,-3.897,-18.873,23.484,-0.322611111
55,-1.287082455,-2.747,-7.681,10.617,-2.321,-13.254,13.823,-6.965,8.824,-7.353,-15.491,20.823,-3.191,-5.129,6.149,-5.968,11.418,7.475,4.057,-15.491,20.823,0.727
56,0.599341061,2.003,6.428,-7.684,1.626,10.038,-10.541,5.581,-6.746,6.831,4.555,-17.169,1.622,3.755,-4.843,4.252,-8.383,-5.892,-2.836,-17.169,10.038,-0.966833333
57,0.160637918,1.436,0.592,-1.407,0.687,0.478,0.931,-0.169,0.047,-2.062,-2.346,-1.015,1.804,0.129,-0.108,0.285,-1.874,-0.979,-0.422,-2.346,1.804,-0.221833333
58,-0.453546483,-1.873,-6.184,6.468,-1.618,-7.53,5.889,-3.45,4.646,-2.606,-7.104,4.045,-2.845,-2.825,3.325,-3.244,7.017,4.388,2.447,-7.53,7.017,-0.058555556
59,0.072897289,0.699,4.293,-3.76,0.697,4.989,-2.234,2.304,-3.314,2.624,0.128,0.6,0.888,1.852,-2.254,1.832,-4.019,-2.501,-1.417,-4.019,4.989,0.078166667
60,-1.067730884,-5.068,-11.364,11.302,-3.313,-13.858,14.782,-7.111,8.997,-7.237,-15.36,8.161,-4.451,-4.728,6.596,-5.157,13.361,10.163,3.847,-15.36,14.782,-0.024333333
61,0.643211376,1.509,8.455,-8.097,1.965,11.28,-8.769,5.538,-7.555,7.434,7.352,-3.509,2.344,3.746,-5.238,4.399,-8.727,-6.738,-2.893,-8.769,11.28,0.138666667
62,1.520617662,3.649,2.793,-7.341,2.436,7.596,-13.002,3.915,-4.836,1.551,20.474,-13.179,4.51,3.117,-3.485,3.546,-8.484,-5.773,-2.857,-13.179,20.474,-0.298333333
63,-0.979990255,-1.907,-4.38,9.116,-1.999,-11.248,11.821,-5.557,7.66,-5.372,-12.293,19.324,-3.364,-4.44,5.099,-5.171,9.382,5.858,3.63,-12.293,19.324,0.897722222
64,0.730952004,2.74,7.103,-8.833,1.881,11.123,-13.149,6.074,-7.361,6.686,10.249,-17.438,2.252,4.339,-5.226,5.024,-9.669,-6.416,-3.339,-17.438,11.123,-0.775555556
65,-0.760638683,-2.234,-7.529,8.682,-1.914,-11.017,12.41,-6.302,7.381,-7.316,-14.909,17.295,-2.115,-4.368,5.309,-5.229,9.355,6.514,3.353,-14.909,17.295,0.409222222
66,0.730952004,2.542,8.38,-8.789,1.905,10.908,-12.822,6.634,-7.496,7.904,15.462,-17.283,2.077,4.371,-5.404,5.264,-9.439,-6.538,-3.352,-17.283,15.462,-0.315333333
67,2.705116149,4.901,7.173,-10.03,2.537,10.752,-10.523,6.733,-6.386,2.07,4.264,-20.044,4.447,4.963,-4.616,5.026,-12.79,-7.947,-4.327,-20.044,10.752,-1.322055556
68,1.213525462,6.197,5.123,-9.521,1.737,8.175,-16.485,6.462,-5.699,4.517,9.298,-3.514,2.205,4.309,-4.295,3.923,-9.753,-9.855,-3.601,-16.485,9.298,-0.598722222
69,0.730952004,4.746,3.895,-5.541,0.608,4.013,-7.404,1.817,-0.78,-0.388,-1.589,-8.587,0.67,1.214,-1.438,1.322,-4.145,-6.057,-1.27,-8.587,4.746,-1.050777778
70,-0.278065225,2.686,0.553,-1.794,-0.154,-0.698,-1.871,-0.407,1.058,-0.637,-0.807,5.217,-0.415,-0.954,0.639,-0.883,0.122,-2.344,0.605,-2.344,5.217,-0.004666667
71,0.029026975,2.285,1.943,-2.872,0.086,1.375,-3.325,0.705,-0.482,0.069,-1.217,-2.713,0.073,0.644,-0.47,0.452,-1.898,-2.643,-0.411,-3.325,2.285,-0.466611111
72,-0.979990255,-0.112,-1.616,3.312,-0.719,-5.462,3.989,-3.078,3.651,-2.38,-4.265,6.239,-0.982,-3.014,2.478,-2.879,4.775,2.528,2.284,-5.462,6.239,0.263833333
73,-0.32193554,-0.734,-2.205,2.491,-0.523,-3.562,2.854,-1.963,1.66,-1.011,-1.663,5.351,-0.841,-1.192,1.262,-1.228,3.14,2.286,1.225,-3.562,5.351,0.297055556
74,1.476747348,2.279,6.154,-6.86,1.035,7.452,-5.348,5.447,-5.79,4.666,10.179,-7.18,1.657,4.44,-3.662,3.994,-8.204,-5.047,-3.294,-8.204,10.179,0.106555556
75,-1.199341827,-0.523,-4.246,3.821,-0.583,-4.696,2.632,-3.923,4.347,-4.253,-5.751,4.57,-0.683,-3.419,2.483,-2.82,5.077,2.945,2.197,-5.751,5.077,-0.156944444
76,1.169655148,1.758,4.772,-5.442,0.677,5.669,-4.049,4.661,-4.822,4.515,6.172,-5.64,0.73,3.694,-2.813,3.173,-5.537,-4.287,-2.512,-5.64,6.172,0.039944444
77,0.950303576,2.254,1.929,-4.457,0.649,5.519,-6.029,2.725,-1.996,0.92,-0.919,-9.832,1.228,2.195,-2.194,2.249,-5.155,-4.018,-2.026,-9.832,5.519,-0.942111111
78,-0.585157426,0.191,-1.245,1.435,-0.432,-2.859,2.437,-1.242,2.3,-1.902,-3.247,5.495,-0.75,-2.364,1.776,-1.862,3.587,0.811,1.572,-3.247,5.495,0.205611111
79,1.345136405,2.591,4.745,-7.383,0.871,8.388,-6.845,5.945,-5.224,4.105,4.373,-11.289,1.204,5.169,-4.06,4.095,-8,-5.869,-3.66,-11.289,8.388,-0.602444444
80,1.564487977,2.711,6.745,-12.902,1.802,14.077,-10.364,6.499,-7.851,6.192,10.414,-6.63,3.747,8.627,-7.619,6.442,-11.631,-9.208,-6.541,-12.902,14.077,-0.305
81,-0.102583968,0.236,0.059,-2.635,-0.434,0.512,0.247,1.696,2.683,-3.986,-3.363,-0.988,-0.476,-2.574,0.949,-1.145,0.819,-1.762,0.757,-3.986,2.683,-0.5225
82,0.68708169,1.168,3.916,-9.064,0.821,9.52,-6.958,3.042,-5.082,4.871,6.078,-4.187,1.828,6.383,-4.682,3.987,-7.727,-6.057,-4.273,-9.064,9.52,-0.356444444
83,0.204508232,0.674,5.446,-6.141,0.367,5.554,-4.15,5.477,-2.181,-0.222,-0.502,-10.299,1.922,2.776,-3.302,1.394,-4.248,-3.78,-2.348,-10.299,5.554,-0.7535
84,-0.672898054,-1.633,-5.178,5.877,-1.939,-10.756,7.045,-5.393,8.503,-5.776,-10.27,9.748,-4.329,-9.848,7.258,-5.754,9.294,4.874,6.304,-10.756,9.748,-0.109611111
85,-0.453546483,-1.484,-5.969,7.583,-1.355,-9.251,10.629,-2.061,5.431,-3.841,-0.815,15.788,-2.773,-5.501,6.028,-4.523,8.291,5.163,4.65,-9.251,15.788,1.443888889
86,1.69609892,2.583,8.709,-14.123,2.181,18.055,-14.912,8.521,-13.89,13.31,14.713,-16.054,5.393,15.099,-11.124,10.131,-16.301,-9.358,-9.591,-16.301,18.055,-0.369888889
87,0.68708169,2.722,13.429,-13.489,1.936,17.265,-16.557,9.149,-10.234,3.501,4.594,-28.993,7.652,14.802,-13.365,6.992,-13.12,-8.802,-9.539,-28.993,17.265,-1.780944444
88,-0.541287111,-1.828,-5.56,4.8,-1.853,-8.859,6.231,-5.098,8.319,-7.566,-8.53,11.233,-4.071,-10.565,5.737,-5.494,7.587,3.796,6.297,-10.565,11.233,-0.301333333
89,0.160637918,0.701,7.307,-5.882,0.051,9.471,-5.276,4.956,-4.202,2.838,4.87,-14.143,0.683,6.507,-5.675,2.445,-7.066,-4.626,-4.113,-14.143,9.471,-0.619666667
90,0.950303576,2.997,6.207,-12.482,1.501,19.008,-15.631,9.446,-12.698,9.978,5.458,-6.266,9.002,19.615,-15.95,9.347,-14.554,-8.551,-10.344,-15.95,19.615,-0.217611111
91,-0.979990255,-3.342,-10.089,10.86,-3.154,-17.712,13.933,-9.296,14.863,-14.978,-7.901,9.761,-7.854,-17.892,11.844,-11.228,13.32,7.674,11.438,-17.892,14.863,-0.541833333
92,0.950303576,3.183,9.341,-13.872,1.558,24.939,-19.04,11.037,-15.238,16.926,13.777,-12.68,7.685,24.27,-18.896,12.549,-19.447,-10.468,-12.596,-19.447,24.939,0.168222222
93,1.081914519,7.406,26.251,-12.932,4.852,24.168,-30.059,8.125,-14.996,5.211,5.189,-39.879,12.65,34.938,-26.102,9.648,-14.164,-9.088,-13.386,-39.879,34.938,-1.231555556
94,0.906433262,11.875,10.168,-13.574,5.705,31.765,-19.492,13.297,-19.304,10.891,1.22,-1.942,12.443,56.001,-38.079,16.444,-19.178,-9.577,-16.032,-38.079,56.001,1.812833333
95,-0.672898054,-6.47,-3.867,12.054,-9.308,-13.116,-0.839,-10.004,13.585,-15.325,-7.931,11.399,-6.335,8.637,-6.558,-14.601,10.965,7.181,15.385,-15.325,15.385,-0.841555556
96,0.336119175,6.316,10.928,-9.417,-0.234,29.597,-23.676,8.135,-14.552,15.449,3.62,-11.183,5.462,40.935,-30.45,12.485,-14.048,-7.785,-10.498,-30.45,40.935,0.615777778
97,-1.374823084,-14.448,-14.13,19.253,-9.221,-25.505,11.559,-11.964,23.564,-14.351,-9.933,25.141,-12.949,-9.327,6.813,-15.365,19.405,12.442,21.976,-25.505,25.141,0.164444444
98,0.511600433,-0.751,12.032,-8.033,4.96,23.03,-24.368,4.742,-7.043,11.427,9.968,-15.975,0.918,13.429,-13.603,9.323,-10.232,-5.826,-7.001,-24.368,23.03,-0.166833333
99,1.125784833,11.907,57.089,-13.577,15.718,40.759,-32.774,11.256,-22.451,17.344,8.274,-24.119,12.72,35.113,-6.588,22.585,-17.313,-10.181,-17.247,-32.774,57.089,4.9175
100,1.213525462,17.56,2.04,-15.555,14.746,38.922,-4.616,18.079,-29.086,16.936,5.3,1.793,15.184,17.716,1.968,25.934,-14.545,-10.274,-21.348,-29.086,38.922,4.486333333
101,0.423859804,22.162,44.764,-12.87,11.338,31.68,-7.168,10.831,-42.377,19.458,6.814,-14.611,19.015,22.39,0.662,29.784,-20.509,-10.654,-24.547,-42.377,44.764,4.786777778
102,2.134802063,35.859,12.112,-25.567,11.788,37.281,-7.969,44.399,-36.05,38.572,7.822,-6.228,34.312,33.655,-2.507,42.68,-22.422,-19.024,-55.436,-55.436,44.399,6.848722222
103,0.292248861,34.963,10.618,-21.802,4.369,15.988,-3.989,19.609,3.012,61.336,8.237,-4.683,35.771,15.594,-0.37,58.568,-22.473,-13.87,-51.788,-51.788,61.336,8.282777778
104,-0.804508997,7.023,-10.405,4.258,-7.982,-11.544,16.148,-12.059,6.262,-11.931,-30.764,15.527,-7.834,-1.155,6.976,-13.921,12.72,2.392,-12.809,-30.764,16.148,-2.727666667
105,-2.252229371,-9.459,-34.381,19.156,-18.971,-27.051,34.546,-6.794,10.933,-20.199,-8.642,36.68,-19.615,-13.274,10.035,-15.43,20.19,13.863,36.624,-34.381,36.68,0.456166667
106,0.950303576,18.631,3.883,-10.093,18.148,8.396,-19.127,26.592,-9.385,18.49,13.886,-20.9,18.099,12.483,-9.821,0.758,-17.594,-8.191,-21.695,-21.695,26.592,1.253333333
107,0.467730118,19.097,15.488,-12.637,17.819,8.687,-12.384,12.524,-5.624,30.452,5.166,-6.867,14.192,5.079,-1.756,15.904,-15.855,-7.151,-31.534,-31.534,30.452,2.811111111
108,0.643211376,21.3,4.648,-13.313,20.046,12.125,-1.596,45.487,-2.114,-7.751,6.368,-2.126,16.77,4.375,-0.943,-3.126,-12.103,-11.792,-32.347,-32.347,45.487,2.439333333
109,0.292248861,-0.341,7.586,-11.826,21.598,14.226,-6.4,17.604,-3.652,18.871,4.373,-11.524,22.333,3.401,-1.527,17.433,-11.539,-13.2,-44.91,-44.91,22.333,1.250333333
110,0.160637918,0.307,8.164,-9.357,15.057,13.639,-2.925,38.575,-2.362,-9.852,2.893,-3.15,0.662,2.789,-1.296,-1.895,-6.518,-11.4,-16.073,-16.073,38.575,0.958777778
111,-1.462563713,-5.325,-22.643,16.132,-0.301,-17.851,24.759,-10.413,12.586,-17.332,-15.86,29.351,-8.696,-12.509,9.078,-14.132,15.507,5.313,8.157,-22.643,29.351,-0.232166667
112,0.68708169,3.791,7.272,-9.473,18.549,16.893,-16.554,17.635,-7.267,7.049,7.896,-20.487,11.129,8.725,-7.369,1.52,-13.92,-9.211,-14.422,-20.487,18.549,0.097555556
113,-0.716768369,-3.989,-14.238,13.166,2.909,-17.123,16.607,-15.122,8.534,-3.206,-10.741,22.871,-4.805,-9.768,7.321,-7.547,14.17,7.24,2.916,-17.123,22.871,0.510833333
114,0.116767604,0.989,0.893,-2.173,7.498,4.839,-6.453,3.888,-1.022,-0.552,1.799,-7.794,3.809,2.845,-3.03,-4.03,-4.748,-1.817,-0.464,-7.794,7.498,-0.306833333
115,-0.409676168,-3.205,-13.526,12.416,-7.402,-14.711,15.149,-14.706,6.194,-7.652,-7.928,16.447,-4.495,-8.3,5.788,-7.226,10.646,8.788,4.849,-14.711,16.447,-0.493
116,0.336119175,2.944,7.579,-7.673,7.128,9.536,-12.016,15.807,-6.438,5.294,8.603,-9.41,5.896,6.835,-5.969,1.694,-11.956,-4.266,-5.144,-12.016,15.807,0.469111111
117,0.599341061,1.825,14.39,-6.526,5.232,8.721,-10.477,-2.25,-4.532,18.154,4.781,-16.842,2.293,4.11,-2.238,16.451,-9.912,-4.794,-25.508,-25.508,18.154,-0.395666667
118,0.730952004,3.357,13.8,-14.176,4.951,19.694,-9.049,34.495,-8.468,-3.625,14.907,-6.751,7.039,7.326,-3.939,4.422,-16.242,-10.442,-8.778,-16.242,34.495,1.5845
119,0.336119175,-0.301,7.332,-4.428,0.832,9.317,-4.82,-7.429,2.509,18.385,6.544,-10.68,0.908,1.269,0.179,17.739,-3.696,-3.689,-26.192,-26.192,18.385,0.209944444
120,0.68708169,1.013,9.65,-7.825,2.567,15.769,-5.105,38.343,-8.072,-10.576,1.454,-7.687,3.921,3.757,-2.369,4.725,-11.196,-6.999,-10.157,-11.196,38.343,0.622944444
121,0.950303576,0.632,16.37,-4.237,2.243,12.34,-7.866,-9.421,2.434,23.867,15.011,-6.771,2.272,2.497,-1.617,23.495,-9.832,-5.197,-25.508,-25.508,23.867,1.706222222
122,0.99417389,0.311,0.032,-2.144,1.379,10.314,-1.149,52.234,-8.699,-15.893,-2.121,-7.726,0.912,1.412,-2.451,11.022,-13.622,-2.012,-4.694,-15.893,52.234,0.950277778
123,0.160637918,0.212,28.24,-1.074,0.892,9.918,-5.346,-11.436,6.31,19.42,16.114,-2.175,0.595,0.893,-3.934,27.835,-7.562,-1,-5.195,-11.436,28.24,4.039277778
124,0.774822319,0.327,-14.558,-1.297,1.01,8.825,-0.84,61.499,-10.662,-15.684,-3.591,-8.634,0.934,1.069,-5.2,15.201,-6.42,-0.884,-3.294,-15.684,61.499,0.988944444
