,inputs,outputs,nb_plays-50-units-128-ensemble-1-predictions,nb_plays-50-units-128-ensemble-2-predictions,nb_plays-50-units-128-ensemble-3-predictions,nb_plays-50-units-128-ensemble-4-predictions,nb_plays-50-units-128-ensemble-5-predictions,nb_plays-50-units-128-ensemble-6-predictions,nb_plays-50-units-128-ensemble-7-predictions,nb_plays-50-units-128-ensemble-8-predictions,nb_plays-50-units-128-ensemble-9-predictions,nb_plays-50-units-128-ensemble-10-predictions,nb_plays-50-units-128-ensemble-11-predictions,nb_plays-50-units-128-ensemble-12-predictions,nb_plays-50-units-128-ensemble-13-predictions,nb_plays-50-units-128-ensemble-14-predictions,nb_plays-50-units-128-ensemble-15-predictions,nb_plays-50-units-128-ensemble-16-predictions,nb_plays-50-units-128-ensemble-17-predictions,nb_plays-50-units-128-ensemble-18-predictions,nb_plays-50-units-128-ensemble-19-predictions,nb_plays-50-units-128-ensemble-20-predictions,,lower,higher
25,-5.122,-60.28,-62.404,-61.574,-62.047,-57.312,-55.645,-62.552,-62.383,-62.088,-56.466,-61.943,-63.187,-62.299,-63.446,-63.439,-62.268,-62.955,-56.058,-60.853,-58.665,-61.953,,-63.446,-55.645
26,-4.977,-60.28,-62.726,-61.533,-64.128,-57.013,-54.855,-62.448,-61.805,-61.841,-53.951,-61.546,-62.618,-62.15,-63.415,-64.471,-62.926,-62.955,-55.87,-59.969,-58.304,-61.776,,-64.471,-53.951
27,-4.822,-60.006,-62.643,-61.447,-61.927,-56.262,-53.314,-62.105,-61.798,-61.624,-54.038,-61.318,-62.436,-62.135,-63.123,-63.367,-62.628,-62.955,-55.7,-59.43,-57.695,-61.842,,-63.367,-53.314
28,-4.985,-60.006,-62.988,-61.497,-64.063,-56.391,-53.797,-62.207,-62.297,-61.861,-55.589,-61.766,-62.747,-62.171,-63.488,-64.528,-63.512,-62.955,-55.749,-59.862,-57.84,-62.141,,-64.528,-53.797
29,-4.966,-60.006,-63.08,-61.521,-61.974,-56.415,-53.666,-62.231,-62.179,-61.805,-54.293,-61.578,-62.544,-62.148,-63.506,-63.396,-63.652,-62.955,-55.748,-59.656,-57.795,-62.618,,-63.652,-53.666
30,-5.019,-60.006,-63.234,-61.598,-64.169,-56.63,-54.133,-62.343,-62.62,-61.892,-55.754,-61.76,-62.865,-62.205,-63.889,-64.74,-63.819,-62.955,-55.792,-60.039,-57.944,-62.993,,-64.74,-54.133
31,-4.942,-60.006,-63.137,-61.647,-61.977,-56.471,-53.694,-62.263,-62.199,-61.782,-54.03,-61.524,-62.504,-62.147,-63.815,-63.402,-63.598,-62.955,-55.742,-59.637,-57.773,-63.03,,-63.815,-53.694
32,-4.862,-60.006,-62.992,-61.594,-63.826,-56.061,-52.908,-62.07,-62.148,-61.67,-54.295,-61.417,-62.405,-62.14,-63.674,-63.706,-63.315,-62.955,-55.699,-59.339,-57.605,-62.828,,-63.826,-52.908
33,-4.92,-60.006,-63.038,-61.624,-61.942,-56.012,-52.935,-62.067,-62.246,-61.748,-54.658,-61.585,-62.481,-62.145,-63.732,-63.352,-63.498,-62.955,-55.714,-59.433,-57.667,-62.877,,-63.732,-52.935
34,-4.9,-60.006,-63.008,-61.611,-63.892,-55.921,-52.68,-62.03,-62.129,-61.711,-54.258,-61.485,-62.368,-62.144,-63.637,-63.982,-63.443,-62.955,-55.708,-59.323,-57.645,-62.848,,-63.982,-52.68
35,-4.782,-59.897,-62.752,-61.513,-61.875,-55.421,-51.693,-61.79,-61.693,-61.545,-53.711,-61.246,-62.249,-62.127,-63.193,-63.327,-62.901,-62.955,-55.679,-58.928,-57.509,-62.511,,-63.327,-51.693
36,-4.879,-59.897,-62.853,-61.568,-63.802,-55.576,-52.037,-61.835,-62.132,-61.687,-54.709,-61.546,-62.253,-62.141,-63.233,-63.842,-63.173,-62.955,-55.697,-59.095,-57.599,-62.571,,-63.842,-52.037
37,-4.725,-59.739,-62.524,-61.313,-61.83,-55.112,-51.461,-61.573,-61.244,-61.436,-53.435,-61.095,-62.125,-62.112,-62.492,-63.301,-62.327,-62.955,-55.589,-58.63,-57.473,-62.178,,-63.301,-51.461
38,-4.627,-59.342,-62.027,-60.834,-62.829,-54.601,-51.238,-61.231,-61.064,-61.312,-53.398,-61.016,-61.959,-62.059,-61.344,-61.905,-61.424,-62.954,-55.166,-57.668,-57.431,-61.568,,-62.954,-51.238
39,-4.529,-58.941,-61.097,-60.249,-60.655,-54.073,-51.018,-60.835,-60.195,-61.125,-53.227,-60.658,-61.756,-61.931,-60.212,-63.044,-60.941,-62.952,-54.831,-56.689,-57.194,-60.185,,-63.044,-51.018
40,-4.628,-58.941,-60.913,-60.292,-61.514,-54.203,-51.389,-60.821,-60.593,-61.363,-53.403,-61.122,-61.735,-62.032,-60.267,-61.664,-60.976,-62.954,-55.336,-56.729,-57.367,-59.22,,-62.954,-51.389
41,-4.432,-58.46,-59.502,-59.667,-59.406,-53.593,-50.677,-60.383,-59.196,-60.815,-52.951,-60.14,-61.564,-61.651,-59.606,-62.74,-60.056,-62.948,-54.373,-56.062,-56.896,-56.642,,-62.948,-50.677
42,-4.413,-58.364,-58.391,-59.343,-58.811,-53.53,-50.857,-60.064,-57.782,-61.089,-52.727,-59.936,-61.485,-61.152,-59.077,-58.363,-59.579,-62.946,-54.506,-55.87,-56.746,-56.099,,-62.946,-50.857
43,-4.561,-58.364,-57.399,-59.653,-58.179,-53.736,-51.241,-60.232,-56.273,-61.192,-53.135,-60.469,-61.552,-61.516,-59.242,-59.132,-59.473,-62.953,-55.117,-56.336,-57.052,-56.591,,-62.953,-51.241
44,-4.525,-58.364,-55.842,-59.65,-58.216,-53.688,-51.005,-60.252,-55.616,-61.099,-53.053,-60.333,-61.55,-61.65,-59.203,-57.27,-59.116,-62.952,-54.824,-56.302,-57.036,-56.489,,-62.952,-51.005
45,-4.372,-58.159,-54.301,-59.167,-57.015,-53.419,-50.623,-59.853,-55.076,-60.816,-52.509,-59.56,-61.447,-60.801,-58.553,-53.968,-58.382,-62.942,-54.227,-55.776,-56.631,-55.656,,-62.942,-50.623
46,-4.175,-57.069,-52.95,-58.157,-56.359,-52.783,-50.205,-58.6,-54.693,-60.192,-51.76,-57.068,-60.359,-57.791,-57.044,-52.142,-57.607,-62.884,-53.51,-54.216,-55.903,-54.956,,-62.884,-50.205
47,-4.219,-57.069,-53.239,-57.751,-56.342,-52.874,-50.336,-58.041,-54.656,-60.368,-51.906,-54.598,-59.871,-56.909,-55.638,-53.236,-56.825,-62.905,-53.862,-53.762,-56.078,-54.926,,-62.905,-50.336
48,-4.203,-57.069,-53.188,-57.495,-56.251,-52.646,-50.207,-57.872,-54.607,-60.681,-51.741,-51.826,-58.969,-56.247,-54.14,-52.679,-55.946,-62.898,-53.713,-53.605,-55.918,-54.877,,-62.898,-50.207
49,-3.916,-54.975,-52.003,-55.214,-55.776,-51.155,-49.595,-57.631,-53.233,-58.935,-49.617,-50.534,-55.486,-55.091,-52.551,-50.147,-54.625,-61.744,-51.911,-51.739,-54.31,-53.836,,-61.744,-49.595
50,-3.968,-54.975,-52.337,-55.552,-55.688,-51.432,-49.609,-57.657,-53.53,-57.684,-49.773,-50.342,-52.878,-55.215,-51.992,-51.901,-53.978,-61.294,-52.585,-51.151,-54.271,-53.578,,-61.294,-49.609
51,-4.152,-55.073,-52.992,-56.078,-55.999,-52.135,-50.328,-57.809,-54.382,-57.84,-51.237,-51.134,-52.523,-56.026,-52.623,-52.825,-54.634,-61.647,-53.706,-52.245,-55.102,-54.374,,-61.647,-50.328
52,-3.809,-54.022,-51.334,-53.761,-55.03,-50.316,-49.345,-57.244,-52.76,-55.043,-48.615,-49.654,-50.298,-54.414,-50.384,-49.637,-53.221,-58.509,-51.12,-50.754,-52.402,-53.087,,-58.509,-48.615
53,-3.707,-53.109,-50.337,-51.007,-52.552,-50.097,-49.151,-56.283,-52.26,-53.392,-47.529,-49.576,-48.908,-53.931,-50.72,-49.855,-51.84,-51.828,-50.789,-49.146,-51.288,-52.541,,-56.283,-47.529
54,-3.652,-52.612,-49.719,-48.255,-50.782,-49.679,-48.848,-55.353,-51.498,-49.259,-46.788,-49.386,-48.452,-53.37,-49.755,-49.634,-50.68,-48.737,-50.464,-47.854,-51.126,-52.3,,-55.353,-46.788
55,-3.543,-51.623,-48.735,-47.638,-49.592,-49.172,-47.712,-54.056,-50.188,-47.192,-45.543,-48.962,-47.832,-51.594,-49.211,-49.427,-48.517,-48.253,-49.766,-46.593,-47.125,-51.721,,-54.056,-45.543
56,-3.506,-51.283,-48.259,-47.959,-49.098,-48.916,-47.407,-52.837,-49.013,-45.953,-44.785,-48.715,-47.322,-50.28,-49.137,-49.374,-46.501,-48.008,-49.671,-45.395,-48.477,-51.631,,-52.837,-44.785
57,-4.067,-52.494,-51.881,-49.574,-49.87,-51.658,-49.888,-56.036,-52.649,-48.275,-50.073,-50.453,-50.374,-54.218,-52.671,-53.355,-50.619,-50.21,-53.735,-47.171,-51.593,-53.822,,-56.036,-47.171
58,-3.501,-51.232,-48.666,-47.759,-49.112,-48.184,-47.861,-54.11,-50.39,-46.506,-45.536,-48.877,-47.715,-50.733,-48.129,-48.912,-46.955,-48.491,-49.605,-45.76,-44.293,-51.34,,-54.11,-44.293
59,-3.693,-51.232,-49.622,-48.27,-49.547,-50.014,-49.228,-54.401,-50.576,-46.572,-46.429,-49.414,-48.289,-52.966,-51.755,-49.786,-47.107,-48.61,-50.988,-45.406,-47.844,-52.55,,-54.401,-45.406
60,-3.589,-51.232,-48.973,-48.258,-49.356,-48.821,-48.182,-53.757,-49.885,-46.058,-45.386,-49.151,-48.036,-50.788,-48.783,-49.452,-45.536,-48.337,-49.963,-44.524,-45.338,-51.873,,-53.757,-44.524
61,-3.655,-51.232,-49.386,-48.222,-49.495,-49.492,-48.955,-53.829,-49.929,-46.129,-45.814,-49.335,-48.249,-49.762,-50.924,-49.677,-44.903,-48.423,-50.62,-42.498,-44.072,-52.311,,-53.829,-42.498
62,-2.696,-43.58,-43.214,-37.582,-40.189,-40.274,-37.699,-42.415,-41.028,-41.265,-36.575,-35.296,-39.882,-43.999,-47.713,-45.692,-39.271,-34.53,-42.372,-34.6,-34.158,-41.396,,-47.713,-34.158
63,-2.77,-43.58,-41.022,-39.769,-36.862,-40.267,-33.883,-41.936,-38.325,-42.949,-34.096,-36.262,-36.963,-39.647,-47.589,-43.705,-37.22,-37.215,-40.852,-36.131,-37.171,-41.034,,-47.589,-33.883
64,-2.939,-43.697,-39.882,-37.365,-34.939,-36.725,-35.11,-40.704,-38.017,-43.258,-35.852,-35.844,-36.873,-37.821,-47.768,-42.914,-40.563,-34.759,-41.257,-37.508,-35.457,-39.807,,-47.768,-34.759
65,-2.933,-43.697,-38.629,-37.23,-34.962,-35.372,-35.956,-41.431,-37.87,-43.18,-35.003,-36.859,-36.204,-37.577,-47.569,-43.359,-40.203,-34.404,-41.157,-37.993,-35.552,-37.021,,-47.569,-34.404
66,-2.512,-41.761,-33.799,-31.655,-32.709,-33.78,-33.304,-33.937,-36.54,-37.612,-33.644,-33.69,-32.428,-34.2,-43.796,-36.636,-35.414,-33.591,-36.203,-33.789,-34.691,-34.9,,-43.796,-31.655
67,-1.851,-35.061,-29.64,-25.404,-27.146,-31.358,-25.447,-31.613,-28.94,-32.547,-28.508,-27.826,-30.704,-27.361,-34.118,-26.685,-32.376,-30.699,-30.829,-28.655,-27.329,-29.876,,-35.061,-25.404
68,-3.281,-41.384,-40.225,-38.52,-37.479,-37.865,-35.841,-40.273,-40.145,-41.131,-37.884,-34.827,-40.011,-36.589,-40.868,-39.232,-40.54,-35.352,-38.543,-40.034,-39.177,-36.603,,-41.384,-34.827
69,-1.978,-35.927,-30.395,-27.902,-29.407,-33.708,-32.229,-31.538,-32.606,-32.639,-32.47,-28.28,-30.296,-29.092,-33.507,-28.486,-34.056,-31.417,-32.312,-30.252,-30.311,-29.289,,-35.927,-27.902
70,-2.325,-36.33,-30.29,-28.763,-27.394,-32.711,-27.204,-33.041,-30.199,-32.143,-31.766,-28.045,-31.665,-29.789,-33.357,-30.998,-33.743,-31.772,-31.131,-29.951,-30.244,-30.778,,-36.33,-27.204
71,-2.879,-38.878,-34.43,-32.223,-33.002,-35.966,-31.536,-38.9,-33.235,-38.108,-35.161,-32.867,-35.427,-38.073,-39.663,-35.075,-39.147,-33.666,-34.944,-36.581,-34.38,-32.746,,-39.663,-31.536
72,-2.793,-38.878,-34.802,-33.673,-34.249,-34.278,-34.331,-37.713,-35.621,-34.819,-34.546,-35.24,-33.675,-34.494,-34.734,-35.244,-37.227,-33.677,-35.323,-37.687,-34.774,-33.039,,-38.878,-33.039
73,-2.159,-36.906,-30.829,-28.48,-29.836,-32.669,-28.134,-33.552,-30.677,-31.587,-32.535,-30.091,-30.972,-31.28,-33.293,-33.238,-33.803,-33.315,-32.514,-30.802,-30.388,-31.345,,-36.906,-28.134
74,-1.474,-31.111,-25.682,-20.72,-23.641,-26.254,-24.753,-28.086,-24.031,-25.659,-24.219,-23.098,-29.192,-22.602,-31.169,-28.007,-28.357,-24.641,-27.612,-24.633,-29.763,-26.526,,-31.169,-20.72
75,-1.268,-28.729,-22.956,-17.076,-22.548,-25.313,-22.108,-23.223,-23.828,-21.539,-22.465,-21.303,-24.885,-22.113,-27.828,-22.208,-22.635,-21.842,-23.157,-22.394,-29.136,-23.469,,-29.136,-17.076
76,-1.813,-29.873,-24.494,-21.586,-24.497,-25.531,-23.927,-22.444,-23.93,-23.504,-24.227,-24.028,-25.439,-23.348,-30.525,-24.344,-25.547,-25.383,-24.816,-24.591,-29.563,-24.711,,-30.525,-21.586
77,-0.713,-22.264,-19.39,-13.326,-20.967,-21.011,-19.041,-14.47,-18.582,-15.108,-20.441,-14.974,-20.379,-20.81,-22.287,-16.068,-16.142,-19.562,-20.812,-14.009,-19.193,-16.168,,-22.287,-13.326
78,-0.388,-18.421,-13.184,-4.502,-15.264,-13.538,-11.193,-11.188,-13.011,-11.988,-15.428,-13.455,-11.601,-15.32,-11.008,-8.368,-11.777,-13.945,-13.655,-7.135,-11.379,-9.546,,-18.421,-4.502
79,-0.778,-18.943,-15.639,-13.765,-13.541,-10.759,-10.984,-13.757,-11.372,-13.146,-15.371,-15.933,-10.704,-15.532,-13.304,-13.16,-10.902,-12.407,-13.836,-14.133,-16.138,-10.667,,-18.943,-10.667
80,-1.148,-20.596,-16.021,-13.905,-15.102,-14.344,-13.53,-15.384,-14.965,-15.242,-16.086,-17.83,-12.361,-15.554,-15.151,-15.382,-15.27,-14.312,-15.03,-14.703,-15.725,-14.311,,-20.596,-12.361
81,-0.166,-15.74,-12.235,-3.508,-6.368,-7.791,-3.649,-8.154,-5.115,-8.582,-6.497,-10.437,-5.448,-10.983,-8.297,-6.472,-9.962,-5.683,-5.084,-7.71,-9.618,-8.281,,-15.74,-3.508
82,-0.226,-15.74,-11.835,-6.649,-6.068,-3.023,-3.861,-3.98,-5.492,-5.107,-4.038,-8.25,-6.454,-5.388,-7.422,-9.089,-6.027,-1.029,-6.241,-6.115,-6.927,-5.655,,-15.74,-1.029
83,-0.045,-14.247,-9.682,-2.498,-5.902,-2.152,-3.801,-3.193,-4.435,-4.093,-2.424,-8.878,-4.029,-3.994,-6.347,-6.789,-3.9,1.488,-5.278,-4.077,-6.109,-3.902,,-14.247,1.488
84,-0.682,-15.799,-13.996,-10.335,-6.23,-2.749,-10.057,-6.204,-6.65,-7.582,-10.588,-10.396,-6.815,-11.324,-7.361,-12.188,-5.01,-1.139,-7.987,-8.267,-8.627,-4.153,,-15.799,-1.139
85,-1.645,-21.773,-16.045,-13.95,-13.468,-15.89,-13.475,-13.942,-16.259,-15.242,-16.294,-20.43,-14.512,-15.434,-15.07,-15.893,-16.366,-15.98,-16.158,-16.97,-14.689,-13.221,,-21.773,-13.221
86,0.956,-1.911,-0.985,-2.401,0.615,1.31,1.211,1.84,-0.097,-0.199,-3.5,-2.262,0.617,0.476,-0.351,1.147,0.56,2.097,1.422,0.647,-2.246,2.263,,-3.5,2.263
87,-0.782,-10.464,-14.552,-12.503,-6.182,-3.455,-8.057,-3.68,-4.287,-10.808,-11.001,-12.715,-7.04,-9.465,-7.05,-9.733,-3.937,-8.735,-12.599,-12.292,-10.899,-1.229,,-14.552,-1.229
88,0.131,-7.445,-9.441,-6.447,-3.939,-2.152,-6.901,0.247,-1.619,-9.739,-5.313,-8.026,-3.656,-6.986,-4.336,0.881,-3.88,1.687,-2.016,-6.769,-2.809,-3.502,,-9.739,1.687
89,1.465,4.362,7.663,9.787,13.382,8.413,9.85,10.294,8.783,7.821,6.989,4.818,8.772,7.754,8.499,6.236,8.89,7.489,7.043,5.407,7.886,4.973,,4.362,13.382
90,0.566,1.421,4.59,7.967,12.021,5.363,4.971,3.816,5.585,3.041,2.512,1.628,7.698,6.155,8.563,4.546,7.215,6.831,2.934,6.385,6.424,0.956,,0.956,12.021
91,1,2.111,7.091,8.3,12.176,6.817,11.01,7.797,5.334,10.377,5.941,1.978,12.65,7.102,12.245,5.113,11.413,12.194,7.484,10.906,12.952,5.329,,1.978,12.952
92,-0.101,-2.922,4.363,2.717,2.22,-0.813,5.153,1.251,2.663,-1.414,-2.581,-6.97,7.51,-0.422,0.684,0.148,5.21,3.893,2.053,2.582,6.772,2.509,,-6.97,7.51
93,-0.114,-3.015,0.202,1.547,2.638,-2.15,1.15,-0.308,0.464,1.679,-2.003,-5.28,0.707,-0.532,-0.448,2.262,1.692,1.749,-3.027,-0.528,3.971,-3.28,,-5.28,3.971
94,0.633,-0.911,1.984,2.96,6.892,-1.613,6.161,1.022,2.356,-3.218,4.13,0.707,1.538,7.641,0.899,3.287,4.847,6.731,-1.648,-0.901,10.876,-0.844,,-3.218,10.876
95,1.568,5.626,9.345,14.353,12.25,12.6,13.023,10.536,8.885,11.049,14.88,9.127,8.845,14.32,8.434,12.428,12.93,12.573,7.954,9.183,16.215,11.131,,5.626,16.215
96,0.972,4.275,7.433,18.48,12.166,10.628,7.231,8.896,7.156,5.452,14.354,6.552,13.106,12.4,10.969,11.797,12.802,15.811,6.042,14.961,13.99,11.596,,4.275,18.48
97,0.87,3.766,8.802,17.529,12.168,14.345,11.695,10.915,4.384,10.548,16.599,2.383,16.68,8.448,13.223,11.259,12.72,15.426,5.88,18.876,13.802,12.458,,2.383,18.876
98,1.488,5.223,13.087,20.511,12.814,15.038,11.982,16.651,10.868,16.162,19.566,8.834,22.55,13.72,16.773,17.53,13.597,16.914,10.026,23.12,17.075,16.137,,5.223,23.12
99,2.05,11.566,19.471,23.816,19.038,19.526,15.62,23.975,19.552,23.374,24.467,16.75,25.096,17.02,25.499,21.655,15.948,20.155,14.891,25.39,24.272,26.18,,11.566,26.18
100,0.906,7.151,15.12,19.28,14.216,13.433,6.555,17.71,16.523,16.443,16.3,8.44,15.841,18.791,17.064,14.83,12.675,16.916,11.494,16.914,15.308,14.117,,6.555,19.28
101,1.142,7.249,17.356,20.359,13.01,14.714,12.081,19.76,18.085,19.258,19.399,10.095,16.929,17.629,17.306,15.55,13.028,16.229,12.045,19.678,14.18,13.664,,7.249,20.359
102,1.47,8.372,20.705,21.521,13.092,15.047,11.973,22.672,21.119,20.668,18.392,15.864,22.162,19.545,20.818,18.763,13.467,16.915,14.957,23.007,16.743,15.332,,8.372,23.007
103,2.528,17.449,27.996,28.151,21.479,26.168,21.096,27.492,27.034,26.674,29.836,21.068,28.629,29.63,28.805,23.47,22.613,23.526,19.967,27.305,27.178,26.839,,17.449,29.836
104,2.213,17.134,26.141,27.878,26.082,23.31,25.058,27.518,25.502,24.913,29.803,20.904,28.567,25.869,26.62,24.718,21.921,25.751,21.224,26.407,28.019,23.763,,17.134,29.803
105,3.275,26.654,31.41,33.069,30.76,29.264,32.133,33.129,29.84,31.301,34.333,27.003,33.544,31.683,32.893,32.56,30.274,30.221,28.366,30.591,31.814,31.298,,26.654,34.333
106,2.789,25.754,30.582,32.962,31.186,29.842,30.005,30.721,30.721,29.075,31.383,25.408,33.001,32.717,30.649,31.223,31.18,31.789,26.998,30.614,30.987,31.772,,25.408,33.001
107,2.414,23.934,29.443,29.29,29.746,28.793,27.539,29.279,27.079,27.034,32.892,22.771,31,28.991,28.373,28.734,26.836,30.358,24.063,26.883,29.648,29.366,,22.771,32.892
108,3.173,26.102,33.634,37.546,31.95,33.969,33.112,33.132,29.349,31.106,34.702,27.4,34.945,32.902,32.968,32.391,31.255,35.284,27.767,30.552,31.815,31.918,,26.102,37.546
109,2.754,25.476,30.737,34.627,31.905,31.095,29.379,30.553,30.057,28.716,31.49,25.168,33.295,32.577,30.384,31.311,31.012,32.801,26.191,30.244,30.819,31.973,,25.168,34.627
